,Exposure,Factor Return
CNE5S_BETA,0.07519063797162732,-0.04533214875923619%
CNE5S_MOMENTUM,0.07251116000145523,-0.20893395989105557%
CNE5S_SIZE,0.00816354011493676,-0.03788145058201131%
CNE5S_EARNYILD,0.11335723508149553,0.028275250215692438%
CNE5S_RESVOL,-0.07029080925478677,0.0010246932025115285%
CNE5S_GROWTH,0.019612814358224054,0.014894668934517519%
CNE5S_BTOP,0.015161095672353932,-0.013421971067018035%
CNE5S_LEVERAGE,0.04831053191139239,-0.008444497875670365%
CNE5S_LIQUIDTY,0.19285043793748471,0.01779404592303635%
CNE5S_SIZENL,0.08361435350938697,0.14137514241763238%
CNE5S_ENERGY,0.01415835463394351,-0.04616884234902585%
CNE5S_CHEM,0.027455239608958636,0.04792506433757282%
CNE5S_CONMAT,0.005052946508781678,-0.004498451649181945%
CNE5S_MTLMIN,0.024668763896885437,0.022961128081799842%
CNE5S_MATERIAL,0.008608857327933534,-0.00366457929192876%
CNE5S_AERODEF,0.0024631907851344124,0.018156955954684584%
CNE5S_BLDPROD,0.001573976459013996,-0.0005908123690501199%
CNE5S_CNSTENG,0.016819639723384707,0.016138561523582062%
CNE5S_ELECEQP,0.01424584402683911,0.019177285030003155%
CNE5S_INDCONG,0.0005664338107155356,-0.004531003046315263%
CNE5S_MACH,0.02003957413733633,0.01984509935131218%
CNE5S_TRDDIST,0.007420972117464582,0.0005285589937731316%
CNE5S_COMSERV,0.0024632857855213758,0.004220535229682021%
CNE5S_AIRLINE,0.004915130714786109,0.049303973047454264%
CNE5S_MARINE,0.0015347343581970732,-0.0056549542590822455%
CNE5S_RDRLTRAN,0.01770767346318598,0.031206129136607252%
CNE5S_AUTO,0.019600747365182927,0.03447938269780515%
CNE5S_HOUSEDUR,0.015837858517433547,-0.016528341788757395%
CNE5S_LEISLUX,0.005573548603902125,0.005586256989009719%
CNE5S_CONSSERV,0.008112441843105615,-0.017018969970528097%
CNE5S_MEDIA,0.004712284634303397,0.009979521975389538%
CNE5S_RETAIL,0.007919637375809046,-0.00019759416867159985%
CNE5S_PERSPRD,0.0033650979849372434,-0.003643826539789785%
CNE5S_BEV,0.01547639128136858,-0.11352672582312096%
CNE5S_FOODPROD,0.016466739549024372,-0.032460222077257406%
CNE5S_HEALTH,0.035256169186265854,0.034910053936876295%
CNE5S_BANKS,0.04050712872820261,-0.03983970643441914%
CNE5S_DVFININS,0.03580480191091394,-0.11695633237860381%
CNE5S_REALEST,0.025210970891388875,-0.11685652895006005%
CNE5S_SOFTWARE,0.01869045078805934,0.07303358443748742%
CNE5S_HDWRSEMI,0.02964425508176264,0.1062188870137426%
CNE5S_UTILITIE,0.016167990100257924,-0.0017859774328998768%
CNE5S_COUNTRY,0.4680411312,0.17632265778357858%
